year,site,site.code,plant.species,week,flw.per.meter.sum.week,flw.count.sum.week
2015,Frogs.Pond,FP,Helianthella.quinquenervis,13,0.8,2
2015,Frogs.Pond,FP,Heliomeris.multiflora,11,1.6,4
2015,Frogs.Pond,FP,Heliomeris.multiflora,12,12.4,31
2015,Frogs.Pond,FP,Heliomeris.multiflora,13,36.4,91
2015,Frogs.Pond,FP,Heliomeris.multiflora,14,13.6,34
2015,Frogs.Pond,FP,Heliomeris.multiflora,15,2.4000000000000004,6
2015,Frogs.Pond,FP,Heracleum.sphondylium,7,0.4,1
2015,Frogs.Pond,FP,Heracleum.sphondylium,8,2,5
2015,Frogs.Pond,FP,Heracleum.sphondylium,10,7.6,19
2015,Frogs.Pond,FP,Heracleum.sphondylium,11,2.4000000000000004,6
2015,Frogs.Pond,FP,Heracleum.sphondylium,12,0.8,2
2015,Frogs.Pond,FP,Heterotheca.villosa,9,15.2,38
2015,Frogs.Pond,FP,Heterotheca.villosa,10,47.2,118
2015,Frogs.Pond,FP,Heterotheca.villosa,11,106.80000000000001,267
2015,Frogs.Pond,FP,Heterotheca.villosa,12,115.2,288
2015,Frogs.Pond,FP,Heterotheca.villosa,13,38.8,97
2015,Frogs.Pond,FP,Heterotheca.villosa,14,10.4,26
2015,Frogs.Pond,FP,Hydrophyllum.fendleri,5,24.4,61
