site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,w,frg,Erigeron.elatior,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,w,frg,Erigeron.elatior,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,q,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
